patch02a   pdksh - Public Domain Korn Shell, v4, Patch02a/2
patch02b   pdksh - Public Domain Korn Shell, v4, Patch02b/2
patch03a   pdksh - Public Domain Korn Shell, v4, Patch03a/5
patch03b   pdksh - Public Domain Korn Shell, v4, Patch03b/5
patch03c   pdksh - Public Domain Korn Shell, v4, Patch03c/5
patch03d   pdksh - Public Domain Korn Shell, v4, Patch03d/5
patch03e   pdksh - Public Domain Korn Shell, v4, Patch03e/5
patch04   pdksh - Public Domain Korn Shell, v4, Patch04
patch05   pdksh - Public Domain Korn Shell, v4, Patch05
