dld.tgz       DLD
jacal1a4.tgz  Symbolic math system written in Scheme
readme        Readme
scm4d3.tgz    Scheme, C Code distribution
scmcnfg4.tgz  Scheme config files
slbpsdtr.gz   Scheme library
slbpsdtr.tgz  Scheme library
slib1d6.tgz   Scheme libraries
smgscm2a.zip  SMG interface package for SCM on VMS
test.scm      Test
turtlegr.tgz  Turtle graphics for MSDOS/X11
xscm1.tgz     X Windows interface package for SCM
