part01   ephem - an interactive astronomical ephemeris, v4.28, Part01/09
part02   ephem - an interactive astronomical ephemeris, v4.28, Part02/09
part03   ephem - an interactive astronomical ephemeris, v4.28, Part03/09
part04   ephem - an interactive astronomical ephemeris, v4.28, Part04/09
part05   ephem - an interactive astronomical ephemeris, v4.28, Part05/09
part06   ephem - an interactive astronomical ephemeris, v4.28, Part06/09
part07   ephem - an interactive astronomical ephemeris, v4.28, Part07/09
part08   ephem - an interactive astronomical ephemeris, v4.28, Part08/09
part09   ephem - an interactive astronomical ephemeris, v4.28, Part09/09
