index
indx20v1.08   Index for comp.sources.x, Volume01 through Volume08
indx20v1.19   Index for comp.sources.x, Volume17 through Volume19
indx20v9.16   Index for comp.sources.x, Volume09 through Volume16
intro20   Accessing the archives
intro20   Editorial comments
intro20   Guidelines
intro20   Introduction to comp.sources.x
intro20   Listing of archive sites in no particular order
intro20   Patches Handling
intro20   Reporting and tracking bugs.
intro20   Submitting source for publication
intro20   The structure of comp.sources.x articles
patchlog.20   Index of Patches posted to comp.sources.x
x11r5_i.nfo   X11R5 public fix #25  available
