-5.51054e-06  -1  -7.91866e-06  
0.000142314  -1  -0.000150214  
0.000567953  -1  -0.000656144  
0.00122958  -0.999998  -0.00169848  
0.00207878  -0.999992  -0.00337163  
0.00307271  -0.999979  -0.00572508  
0.00419123  -0.999953  -0.00879414  
0.00542073  -0.999906  -0.0126008  
0.00673899  -0.99983  -0.0171512  
0.00814055  -0.999715  -0.0224568  
0.0095937  -0.999547  -0.0285276  
0.0110756  -0.999313  -0.0353647  
0.0125602  -0.998998  -0.0429561  
0.0140104  -0.998585  -0.0512966  
0.0154095  -0.998057  -0.0603778  
0.0167207  -0.997396  -0.0701528  
0.0179285  -0.996586  -0.080593  
0.0190058  -0.995609  -0.0916598  
0.0199626  -0.994448  -0.10332  
0.0208055  -0.993086  -0.115534  
0.0215486  -0.991506  -0.12826  
0.0222275  -0.989694  -0.141461  
0.0228817  -0.987632  -0.155109  
0.0235612  -0.985302  -0.169189  
0.024318  -0.982681  -0.183703  
0.0251984  -0.979741  -0.198675  
0.0262339  -0.976452  -0.214132  
0.0274473  -0.972777  -0.230112  
0.028851  -0.96867  -0.24667  
0.0304662  -0.964081  -0.263857  
0.0322817  -0.958957  -0.281708  
0.0342863  -0.953236  -0.300275  
0.0364647  -0.946859  -0.319576  
0.0387985  -0.939773  -0.339589  
0.0412657  -0.931929  -0.360286  
0.0438395  -0.923275  -0.381631  
0.0464824  -0.913764  -0.403577  
0.0491622  -0.90335  -0.426078  
0.0518399  -0.891991  -0.44907  
0.0544724  -0.879661  -0.472472  
0.0570197  -0.866341  -0.496187  
0.0594526  -0.852028  -0.520109  
0.0617556  -0.836733  -0.544118  
0.0639254  -0.820488  -0.568078  
0.0659872  -0.80334  -0.591854  
0.0679991  -0.785377  -0.615272  
0.0700637  -0.766698  -0.638173  
0.0723182  -0.747406  -0.66042  
0.0749338  -0.72758  -0.681919  
0.0780865  -0.707281  -0.702606  
0.0819398  -0.686563  -0.722438  
0.0866439  -0.66546  -0.741388  
0.0923331  -0.643987  -0.759444  
0.0991134  -0.622154  -0.776596  
0.10707  -0.599958  -0.792834  
0.11626  -0.5774  -0.808142  
0.126716  -0.554489  -0.822487  
0.138453  -0.53124  -0.835832  
0.15147  -0.507675  -0.848129  
0.165744  -0.483836  -0.859321  
0.181239  -0.459773  -0.869345  
0.197889  -0.435565  -0.878136  
0.215605  -0.411316  -0.885626  
0.234286  -0.387164  -0.891748  
0.253836  -0.363271  -0.896438  
0.274157  -0.339838  -0.899638  
0.295176  -0.317072  -0.901297  
